연도,서울,부산,대구,인천,광주,대전,울산,경기남부,경기북부,강원,충북,충남,전북,전남,경북,경남,제주
2005,24085,7714,4575,4461,0,0,1856,12659,0,3684,2866,5817,4489,7361,5698,5550,1277
2006,24332,7795,4803,4474,0,0,1831,12821,0,3784,2949,5895,4630,7600,5785,5638,1307
2007,24238,7757,4771,4559,2711,2290,1880,13226,0,3783,2963,3812,4630,5070,5836,5603,1372
2008,24360,7653,4782,4698,2748,2390,1875,14654,0,3660,2893,3733,4549,4896,5727,5492,1377
2009,24626,7762,4832,4866,2855,2403,1902,16432,0,3658,2900,3899,4536,4966,5704,5515,1377
2010,24542,7696,4831,4924,2827,2397,1952,17422,0,3631,3007,3849,4504,4895,5623,5470,1354
2011,25025,7936,4907,4989,2862,2395,2029,18021,0,3688,3076,3889,4516,4884,5579,5546,1362
2012,24907,7983,4953,4951,2903,2390,2014,18086,0,3702,3073,3983,4474,4892,5614,5601,1364
2013,25212,8032,4989,5100,2922,2402,2066,18327,0,3692,3069,4049,4490,4935,5669,5624,1378
2014,25834,8202,5049,5393,3049,2538,2172,19879,0,3812,3081,4208,4547,5009,5711,5834,1425
2015,26163,8544,5347,5551,3158,2780,2320,20522,0,3999,3232,4455,4644,5121,5949,6230,1556
2016,27337,9048,5598,5831,3330,3012,2477,16086,5401,4193,3447,4609,4786,5387,6239,6532,1666
2017,27615,9017,5566,5914,3343,3038,2481,16429,5786,4178,3436,4690,4792,5400,6243,6605,1709
2018,27950,9040,5643,6230,3399,3099,2528,17087,5971,4261,3526,4832,4822,5374,6396,6714,1731
